Word,Pos,N_meanings,N_synonyms,N_hypernyms,N_hyponyms,N_antonyms,Google_freq,Movie_freq,Movie_freq_pm,BlogFreq,BlogFreqPm,BlogCD,BlogCDPc,TwitterFreq,TwitterFreqPm,TwitterCD,TwitterCDPc,NewsFreq,NewsFreqPm,NewsCD,NewsCDPc.,Conc_M,N_unknown,N_participants,rt_correct_std,rt_zscore_correct_mean,rank_L2,rank_L1,diff_L1_L2,length_of_word,length_of_phonetics,num_of_syllables,num_of_morph,num_of_prefix,num_of_suff,total_pref_length,total_suff_length,pref_famsize,suff_famsize,level
smile,verb,3,0,2,1,0,13893537,1346,26.39215686,3292,86.3321,3050,0.3392,4580,147.8459,4332,0.1835,1066,30.27,1031,0.1021,4.5,0,28,321.7897048,-0.822549912,3,81,-78,5,9,1,1,0,0,0,0,0,0,a2
smoke,noun,10,6,8,4,0,16567733,1401,27.47058824,1272,33.358,1113,0.1238,1939,62.5924,1848,0.0783,1349,38.3061,1233,0.122,4.96,0,27,395.6768208,-0.787650848,383,4537,-4154,5,9,1,1,0,0,0,0,0,0,a2
smoke,verb,10,1,2,1,0,16567733,1933,37.90196078,1272,33.358,1113,0.1238,1939,62.5924,1848,0.0783,1349,38.3061,1233,0.122,4.96,0,27,395.6768208,-0.787650848,383,4537,-4154,5,9,1,1,0,0,0,0,0,0,a2
smoking,noun,3,2,2,1,0,27526627,481,9.431372549,918,24.0744,781,0.0868,1071,34.5727,1047,0.0444,1067,30.2984,974,0.0964,4.32,0,28,554.9454695,-0.763179544,624,6075,-5451,7,11,2,1,0,0,0,0,0,0,a2
smooth,adjective,12,3,0,0,4,18633567,824,16.15686275,1963,51.4793,1837,0.2043,668,21.5636,651,0.0276,811,23.0291,791,0.0783,3.81,0,27,417.2801067,-0.654733466,228,5324,-5096,6,8,1,1,0,0,0,0,0,0,b1
snake,noun,8,4,3,2,0,7606395,1099,21.54901961,495,12.9813,406,0.0451,296,9.5551,283,0.012,232,6.5879,207,0.0205,5,0,26,316.2095759,-0.759593793,716,7841,-7125,5,9,1,1,0,0,0,0,0,0,a1
snap,verb,25,9,13,4,0,7978122,742,14.54901961,652,17.0986,615,0.0684,769,24.8239,747,0.0317,543,15.419,529,0.0524,4.1,11,5887,438.4288393,-0.597999479,5524,3937,1587,4,7,1,1,0,0,0,0,0,0,c1
snow,noun,6,3,3,2,0,35358852,1172,22.98039216,2948,77.3108,2294,0.2551,3630,117.1792,3347,0.1418,1769,50.2324,1532,0.1516,4.85,0,26,525.8643668,-0.73932107,294,5892,-5598,4,8,1,1,0,0,0,0,0,0,a1
snow,verb,6,1,2,0,0,35358852,95,1.862745098,2948,77.3108,2294,0.2551,3630,117.1792,3347,0.1418,1769,50.2324,1532,0.1516,4.85,0,26,525.8643668,-0.73932107,294,5892,-5598,4,8,1,1,0,0,0,0,0,0,a1
soak,verb,11,6,9,4,1,1700767,150,2.941176471,458,12.011,437,0.0486,183,5.9074,181,0.0077,202,5.736,198,0.0196,4.21,0,28,570.4481905,-0.562857154,11252,3296,7956,4,8,1,1,0,0,0,0,0,0,c1
soap,noun,4,1,3,1,0,12485378,752,14.74509804,741,19.4326,580,0.0645,437,14.1067,416,0.0176,304,8.6324,281,0.0278,4.93,0,29,379.5892356,-0.764311622,1182,1687,-505,4,8,1,1,0,0,0,0,0,0,a2
soar,verb,6,3,5,1,0,1729736,78,1.529411765,112,2.9372,109,0.0121,102,3.2926,99,0.0042,130,3.6915,130,0.0129,3.67,0,27,719.7514359,-0.472402959,20996,13050,7946,4,6,1,1,0,0,0,0,0,0,c1
soccer,noun,1,1,1,0,0,28647229,628,12.31372549,645,16.915,553,0.0615,1731,55.878,1656,0.0702,1949,55.3436,1664,0.1647,4.76,0,29,576.4711162,-0.598437407,2483,6920,-4437,6,7,2,1,0,0,0,0,0,0,a2
social,adjective,7,1,0,0,1,139566375,1709,33.50980392,7055,185.0161,5832,0.6485,8014,258.6981,7684,0.3256,5479,155.5812,5078,0.5027,2.27,0,26,417.2798278,-0.792252969,2619,2361,258,6,11,2,2,0,1,0,2,0,1431,a2
socialist,adjective,3,1,0,0,1,4217721,63,1.235294118,396,10.385,354,0.0394,111,3.5832,105,0.0044,282,8.0076,276,0.0273,3.19,1,27,611.2543937,-0.585372664,1598,2440,-842,9,15,3,3,0,2,0,5,0,1893,c1
society,noun,4,3,4,3,0,111199035,1686,33.05882353,4862,127.5051,4252,0.4728,1349,43.5468,1316,0.0558,3087,87.6582,2899,0.287,2.54,0,26,401.5245578,-0.679635666,618,5621,-5003,7,13,4,2,0,1,0,3,0,580,a2
sock,noun,3,1,2,1,0,3748769,336,6.588235294,302,7.9199,231,0.0257,203,6.553,191,0.0081,83,2.3569,75,0.0074,4.91,7,5895,542.2657942,-0.520102214,8164,153,8011,4,6,1,1,0,0,0,0,0,0,a2
soft,adjective,20,8,0,0,8,39440877,1631,31.98039216,3050,79.9857,2872,0.3194,960,30.9895,940,0.0398,1362,38.6752,1322,0.1309,3.88,0,26,389.2522853,-0.766631541,1174,3816,-2642,4,7,1,1,0,0,0,0,0,0,a2
software,noun,1,1,1,1,1,370517038,426,8.352941176,1181,30.9715,926,0.103,1065,34.379,1034,0.0438,1374,39.016,1234,0.1221,4.08,0,25,542.4604624,-0.604761205,149,211,-62,8,11,2,2,0,0,0,0,0,0,b1
soil,noun,5,4,4,2,0,23949346,357,7,889,23.3139,755,0.084,110,3.5509,108,0.0046,893,25.3575,763,0.0755,4.87,0,30,358.3447711,-0.703313167,9122,5553,3569,4,8,1,1,0,0,0,0,0,0,b1
solar,adjective,1,0,0,0,0,20423792,223,4.37254902,755,19.7997,584,0.0649,359,11.5888,331,0.014,1397,39.6691,1103,0.1092,4,0,27,647.3082493,-0.596740336,2912,2622,290,5,9,2,2,0,1,0,2,0,129,b2
soldier,noun,3,0,2,1,0,10032017,1975,38.7254902,572,15.0006,526,0.0585,232,7.4891,230,0.0097,586,16.64,548,0.0542,4.72,0,29,481.999096,-0.645944021,2430,5981,-3551,7,12,2,1,0,0,0,0,0,0,a2
sole,adjective,7,2,0,0,0,13401764,260,5.098039216,520,13.6369,494,0.0549,158,5.1004,155,0.0066,475,13.4881,464,0.0459,4.11,0,27,524.0776739,-0.407047877,20931,6446,14485,4,8,1,1,0,0,0,0,0,0,c1
solely,adverb,1,1,0,0,0,10091700,90,1.764705882,530,13.8992,522,0.058,140,4.5193,140,0.0059,398,11.3016,396,0.0392,1.75,0,28,454.129797,-0.496243383,22120,13161,8959,6,10,2,2,0,1,0,2,0,2898,c1
solicitor,noun,2,1,2,2,0,2675862,47,0.921568627,101,2.6487,83,0.0092,10,0.3228,10,0.0004,121,3.4359,117,0.0116,3.92,2,28,708.5083578,-0.362127835,25050,20916,4134,9,11,4,2,0,1,0,2,0,289,c1
solid,adjective,18,6,0,0,2,37426444,971,19.03921569,1667,43.7168,1589,0.1767,1369,44.1924,1343,0.0569,1935,54.9461,1897,0.1878,4.42,0,26,412.1010027,-0.698180617,2161,6375,-4214,5,8,2,1,0,0,0,0,0,0,b1
solid,noun,18,1,3,2,0,37426444,25,0.490196078,1667,43.7168,1589,0.1767,1369,44.1924,1343,0.0569,1935,54.9461,1897,0.1878,4.42,0,26,412.1010027,-0.698180617,2161,6375,-4214,5,8,2,1,0,0,0,0,0,0,b1
solidarity,noun,1,0,1,0,0,3221580,40,0.784313725,241,6.3202,225,0.025,186,6.0042,185,0.0078,123,3.4927,122,0.0121,1.9,0,29,622.8218464,-0.528532778,4693,10462,-5769,10,14,5,2,0,1,0,3,0,580,c1
solo,adjective,7,0,0,0,0,14360216,2,0.039215686,814,21.347,739,0.0822,993,32.0548,976,0.0414,1117,31.7182,1071,0.106,2.79,0,28,599.756769,-0.611092441,8186,8897,-711,4,11,2,1,0,0,0,0,0,0,c1
solo,noun,7,0,3,1,0,14360216,263,5.156862745,814,21.347,739,0.0822,993,32.0548,976,0.0414,1117,31.7182,1071,0.106,2.79,0,28,599.756769,-0.611092441,8186,8897,-711,4,11,2,1,0,0,0,0,0,0,c1
solution,noun,5,2,5,3,0,74000589,808,15.84313725,1761,46.1819,1628,0.181,972,31.3769,945,0.04,1458,41.4012,1413,0.1399,2.61,0,28,493.4844528,-0.714584594,2621,3476,-855,8,11,3,2,0,1,0,3,0,1599,a2
solve,verb,3,3,3,2,0,13452150,996,19.52941176,767,20.1144,729,0.0811,550,17.7544,541,0.0229,715,20.3031,706,0.0699,2.1,1,30,577.9008301,-0.635873599,4084,4788,-704,5,7,1,1,0,0,0,0,0,0,a2
some,determiner,5,0,0,0,0,548829454,87985,1725.196078,88845,2329.9445,74260,8.2576,61589,1988.1405,59357,2.515,51501,1462.4176,47470,4.6989,2.48,0,27,668.9725462,-0.736941819,596,2282,-1686,4,6,1,1,0,0,0,0,0,0,a1
some,pronoun,5,0,0,0,0,548829454,26,0.509803922,88845,2329.9445,74260,8.2576,61589,1988.1405,59357,2.515,51501,1462.4176,47470,4.6989,2.48,0,27,668.9725462,-0.736941819,596,2282,-1686,4,6,1,1,0,0,0,0,0,0,a1
somebody,pronoun,1,0,0,0,0,11089522,17531,343.745098,1244,32.6237,1154,0.1283,3531,113.9834,3429,0.1453,1926,54.6905,1817,0.1799,3.79,0,29,435.4662219,-0.658147768,95,3159,-3064,8,10,3,2,0,0,0,0,0,0,a1
somehow,adverb,2,1,0,0,0,9149642,2304,45.17647059,3078,80.72,3005,0.3342,1129,36.445,1126,0.0477,922,26.181,913,0.0904,1.28,0,25,562.6500542,-0.57022175,4526,1019,3507,7,10,2,2,0,0,0,0,0,0,b2
someone,pronoun,1,0,0,0,0,76212141,22687,444.8431373,15148,397.2536,13596,1.5119,21386,690.3566,20771,0.8801,7187,204.0814,6823,0.6754,3.71,0,28,384.3392724,-0.689806921,82,6199,-6117,7,9,2,2,0,0,0,0,0,0,a1
something,pronoun,1,0,0,0,0,131836210,76394,1497.921569,34443,903.2616,30598,3.4025,22536,727.4795,21832,0.925,14841,421.4236,13979,1.3837,1.82,0,28,486.4274512,-0.704814005,1478,8002,-6524,9,9,2,2,0,0,0,0,0,0,a1
sometime,adverb,1,0,0,0,0,4781394,1606,31.49019608,899,23.5761,889,0.0989,1825,58.9124,1821,0.0772,529,15.0214,525,0.052,1.47,0,30,810.6739932,-0.502659258,4655,3599,1056,8,11,2,2,0,0,0,0,0,0,b2
somewhat,adverb,2,2,0,0,1,15620893,426,8.352941176,2228,58.4289,2180,0.2424,396,12.7832,394,0.0167,1055,29.9577,1048,0.1037,1.28,0,29,773.2954967,-0.495299165,7996,11006,-3010,8,9,2,2,0,0,0,0,0,0,b2
