Pos,N_meanings,N_Thesaurus,N_synonyms,N_hypernyms,N_hyponyms,N_antonyms,Google_freq,Movie_freq,Movie_freq_pm,BlogFreq,BlogFreqPm,BlogCD,BlogCDPc,TwitterFreq,TwitterFreqPm,TwitterCD,TwitterCDPc,NewsFreq,NewsFreqPm,NewsCD,NewsCDPc.,Conc_M,Conc_SD,Percent_known,N_unknown,N_participants,nobs,accuracy,rt_correct_mean,rt_correct_std,rt_zscore_correct_mean,rt_zscore_correct_std,rank_L2,nobs_L1,acc_L1,rank_L1,diff_L1_L2,length_of_word,length_of_phonetics,num_of_syllables,num_of_morph,num_of_prefix,num_of_roots,num_of_suff,total_pref_length,total_suff_length,pref_famsize,suff_famsize,root_famsize,level
noun,4,2,1,1,1,0,54886061,2,0.039215686,921,24.1531,822,0.0914,600,19.3685,589,0.025,1556,44.184,1481,0.1466,2.11,1.22,1,0,27,254,0.980314961,956.313253,446.9950186,-0.634530587,0.494151504,1875,394,0.994923858,6566,-4691,8,12,4,2,0,1,1,0,2,0,1014,5,3
noun,4,5,1,4,2,0,29252165,633,12.41176471,638,16.7314,594,0.0661,653,21.0793,642,0.0272,2300,65.3106,2117,0.2096,4.29,1.12,1,0,28,255,0.980392157,935.172,467.4048476,-0.668819625,0.498477354,1864,423,0.997635934,2082,-218,7,10,4,2,0,1,1,0,1,0,2486,5,4
verb,2,6,2,2,1,2,3199272,65,1.274509804,94,2.4651,91,0.0101,42,1.3558,42,0.0018,179,5.0829,178,0.0176,3.48,1.37,1,0,27,278,0.964028777,1178.753731,805.5197074,-0.448572572,0.761022626,3655,417,1,1048,2607,10,15,4,3,1,1,1,1,3,309,937,8,4
verb,11,4,7,10,6,3,43171429,2692,52.78431373,2596,68.0796,2398,0.2667,1336,43.1271,1283,0.0544,1539,43.7013,1502,0.1487,3.03,1.57,1,0,29,205,0.995121951,846.122549,326.3904243,-0.782501724,0.41834181,414,369,0.994579946,7491,-7077,6,9,2,1,0,1,0,0,0,0,0,7,1
adjective,4,6,1,0,0,1,14590887,269,5.274509804,772,20.2456,737,0.082,383,12.3635,378,0.016,381,10.8188,374,0.037,1.93,1.12,1,0,28,229,0.965065502,1022.447964,520.6219299,-0.644727852,0.467320601,3556,418,0.995215311,5440,-1884,10,14,4,2,0,1,1,0,4,0,872,7,3
noun,7,3,4,7,4,1,36864919,162,3.176470588,651,17.0724,614,0.0683,273,8.8127,272,0.0115,308,8.7459,300,0.0297,2.21,1.26,1,0,28,234,0.94017094,1101.318182,570.7613026,-0.529327087,0.517746417,5903,408,0.987745098,13073,-7170,10,12,3,2,0,1,1,0,4,0,323,7,4
noun,8,4,4,6,5,0,217986984,1318,25.84313725,2645,69.3647,2436,0.2709,1941,62.657,1886,0.0799,3609,102.4808,3446,0.3411,2.71,1.44,1,0,28,251,0.972111554,877.75,284.0075765,-0.727042583,0.39979548,2832,419,0.997613365,2244,588,6,8,2,1,0,1,0,0,0,0,0,8,2
verb,8,4,1,2,1,0,217986984,283,5.549019608,2645,69.3647,2436,0.2709,1941,62.657,1886,0.0799,3609,102.4808,3446,0.3411,2.71,1.44,1,0,28,251,0.972111554,877.75,284.0075765,-0.727042583,0.39979548,2832,419,0.997613365,2244,588,6,8,2,1,0,1,0,0,0,0,0,8,2
adjective,4,7,1,0,0,1,18695403,56,1.098039216,488,12.7977,478,0.0532,221,7.1341,219,0.0093,568,16.1289,559,0.0553,1.8,0.96,0.961538462,1,26,274,0.96350365,1076.844697,662.5290312,-0.472475403,0.701322224,3719,415,0.997590361,2428,1291,10,13,4,2,0,1,1,0,4,0,872,8,4
noun,2,3,1,2,2,0,18699760,4138,81.1372549,1182,30.9977,1098,0.1221,952,30.7313,940,0.0398,1915,54.3782,1817,0.1799,3.26,1.48,1,0,27,342,0.979532164,968.3552239,563.2800824,-0.661127912,0.559310337,1963,438,0.997716895,1739,224,8,11,3,1,0,1,0,0,0,0,0,3,1
