Pos,N_meanings,N_Thesaurus,N_synonyms,N_hypernyms,N_hyponyms,N_antonyms,Google_freq,Movie_freq,Movie_freq_pm,BlogFreq,BlogFreqPm,BlogCD,BlogCDPc,TwitterFreq,TwitterFreqPm,TwitterCD,TwitterCDPc,NewsFreq,NewsFreqPm,NewsCD,NewsCDPc.,Conc_M,Conc_SD,Percent_known,N_unknown,N_participants,nobs,accuracy,rt_correct_mean,rt_correct_std,rt_zscore_correct_mean,rt_zscore_correct_std,rank_L2,nobs_L1,acc_L1,rank_L1,diff_L1_L2,length_of_word,length_of_phonetics,num_of_syllables,num_of_morph,num_of_prefix,num_of_roots,num_of_suff,total_pref_length,total_suff_length,pref_famsize,suff_famsize,root_famsize,level
adverb,20,6,2,0,0,0,53447410,1833,35.94117647,4964,130.18,4727,0.5256,2509,80.9925,2448,0.1037,3510,99.6696,3418,0.3383,3.38,1.35,1,0,29,221,0.995475113,885.8727273,383.1723889,-0.728218809,0.475113941,344,393,0.994910941,6622,-6278,4,7,1,1,0,1,0,0,0,0,0,6,2
adverb,2,1,2,0,0,0,7641115,735,14.41176471,1432,37.5539,1400,0.1557,372,12.0084,350,0.0148,1078,30.6108,1062,0.1051,2,1.02,1,0,30,229,0.978165939,997.3660714,423.1205024,-0.618404433,0.453353963,2122,402,0.997512438,3016,-894,6,9,2,2,0,1,1,0,2,0,2898,6,3
noun,5,1,3,4,1,1,53511683,41,0.803921569,481,12.6141,438,0.0487,302,9.7488,298,0.0126,588,16.6968,569,0.0563,2,1.22,1,0,25,226,0.96460177,902.1743119,361.1656715,-0.690773544,0.451291623,3596,399,0.992481203,9256,-5660,7,9,2,1,0,1,0,0,0,0,0,2,4
noun,4,6,2,2,1,1,6851628,215,4.215686275,630,16.5216,605,0.0673,395,12.7509,387,0.0164,918,26.0674,906,0.0897,2.96,1.5,1,0,28,254,0.921259843,1087.371795,740.5359231,-0.540206698,0.668276811,7580,371,0.989218329,12287,-4707,6,9,2,1,0,1,0,0,0,0,0,4,3
verb,4,6,2,1,1,0,6851628,367,7.196078431,630,16.5216,605,0.0673,395,12.7509,387,0.0164,918,26.0674,906,0.0897,2.96,1.5,1,0,28,254,0.921259843,1087.371795,740.5359231,-0.540206698,0.668276811,7580,371,0.989218329,12287,-4707,6,9,2,1,0,1,0,0,0,0,0,4,3
verb,7,4,6,6,4,2,7362127,958,18.78431373,822,21.5568,778,0.0865,355,11.4597,352,0.0149,889,25.244,856,0.0847,2.31,1.34,1,0,29,278,0.964028777,938.0783582,418.2419033,-0.68852773,0.397470949,3651,393,0.997455471,3482,169,6,9,2,1,0,1,0,0,0,0,0,4,3
noun,2,4,2,2,1,0,3340033,153,3,118,3.0945,108,0.012,119,3.8414,118,0.005,860,24.4205,812,0.0804,3.19,1.36,1,0,26,297,0.96969697,1035,521.4906268,-0.568538565,0.588095959,3068,405,0.990123457,11339,-8271,8,10,3,2,0,1,1,0,2,0,2274,4,3
adjective,4,7,1,0,0,1,5430651,276,5.411764706,409,10.726,370,0.0411,403,13.0092,400,0.0169,3889,110.4317,3473,0.3438,2.07,1.28,1,0,29,286,0.968531469,984.4223827,419.4676905,-0.602601809,0.447695081,3184,419,0.988066826,12830,-9646,9,11,3,2,0,1,1,0,3,0,580,8,4
noun,2,4,2,2,2,1,4505086,53,1.039215686,74,1.9406,66,0.0073,27,0.8716,26,0.0011,72,2.0445,67,0.0066,2.07,1.33,1,0,29,296,0.800675676,1275.835443,773.7552184,-0.233964156,0.886442133,17936,440,0.988636364,12501,5435,10,12,4,1,0,1,0,0,0,0,0,1,4
noun,4,5,1,4,2,1,6564569,55,1.078431373,333,8.7329,288,0.032,194,6.2625,188,0.008,1910,54.2362,1774,0.1756,2.21,1.29,0.965517241,1,29,277,0.870036101,1161.634855,812.2239271,-0.406788625,0.711598556,11997,428,0.988317757,12667,-670,7,11,3,1,0,1,0,0,0,0,0,1,4
verb,4,5,3,5,3,0,36087006,316,6.196078431,751,19.6948,709,0.0788,509,16.4309,487,0.0206,472,13.4029,467,0.0462,2.15,1.41,1,0,27,245,0.967346939,982.6919831,559.6942587,-0.625763373,0.58910118,3327,455,0.993406593,7832,-4505,6,10,2,1,0,1,0,0,0,0,0,15,2
adjective,2,7,0,0,0,1,3651600,314,6.156862745,381,9.9917,367,0.0408,152,4.9067,151,0.0064,120,3.4075,120,0.0119,2.07,1.28,1,0,29,244,0.954918033,1187.7897,723.8981005,-0.394354796,0.773266238,4540,431,0.995359629,5039,-499,8,10,3,2,0,1,1,0,3,0,45,15,2
adverb,1,5,1,0,0,0,15922257,3847,75.43137255,5794,151.9466,5608,0.6236,7231,233.4223,7201,0.3051,2573,73.0627,2488,0.2463,1.74,1.16,1,0,27,228,0.986842105,1148.973333,781.2872672,-0.50165488,0.747937296,1187,348,0.988505747,12558,-11371,10,12,4,3,0,1,2,0,5,0,2943,15,1
noun,2,2,0,2,1,0,46017042,298,5.843137255,1195,31.3387,1094,0.1217,655,21.1439,648,0.0275,508,14.4251,487,0.0482,3.07,1.69,1,0,27,241,0.98340249,952.8185654,318.6975294,-0.655005703,0.445739685,1532,393,0.989821883,11761,-10229,10,13,4,2,0,1,1,0,3,0,1599,15,2
verb,3,7,3,3,3,1,800149,158,3.098039216,124,3.2519,120,0.0133,50,1.614,50,0.0021,88,2.4988,88,0.0087,1.86,1.13,1,0,29,260,0.707692308,1184.630435,802.6417682,-0.349602325,0.738611041,25096,408,0.990196078,11253,13843,4,9,2,1,0,1,0,0,0,0,0,4,4
noun,7,3,4,7,5,0,67029686,759,14.88235294,2137,56.0425,1930,0.2146,1111,35.8639,1090,0.0462,2429,68.9737,2176,0.2154,3,1.66,1,0,27,264,0.984848485,912.5038462,451.9181299,-0.670031392,0.57084979,1356,435,0.995402299,4931,-3575,6,9,2,1,0,1,0,0,0,0,0,1,1
noun,6,7,2,2,2,0,21911190,345,6.764705882,459,12.0372,440,0.0489,678,21.8864,662,0.028,1039,29.5033,1013,0.1003,2.79,1.54,1,0,29,226,0.969026549,954.6027397,490.8184535,-0.626033589,0.566973869,3130,446,0.995515695,4755,-1625,5,9,2,1,0,1,0,0,0,0,0,1,3
verb,6,7,3,4,3,1,21911190,214,4.196078431,459,12.0372,440,0.0489,678,21.8864,662,0.028,1039,29.5033,1013,0.1003,2.79,1.54,1,0,29,226,0.969026549,954.6027397,490.8184535,-0.626033589,0.566973869,3130,446,0.995515695,4755,-1625,5,9,2,1,0,1,0,0,0,0,0,1,3
noun,2,6,2,2,2,0,5401948,70,1.37254902,114,2.9896,100,0.0111,42,1.3558,42,0.0018,300,8.5188,290,0.0287,2.7,1.46,1,0,27,305,0.927868852,1146.798587,795.8444454,-0.415807308,0.704689172,7013,428,0.985981308,14153,-7140,10,15,4,3,0,1,2,0,6,0,2536,3,4
verb,3,5,3,3,2,1,33766846,90,1.764705882,284,7.4479,264,0.0294,849,27.4064,812,0.0344,44,1.2494,44,0.0044,3.48,1.5,1,0,29,239,0.987447699,893.0169492,376.7138647,-0.688936713,0.471135607,1104,390,0.997435897,3640,-2536,6,9,2,1,0,1,0,0,0,0,0,2,3
adjective,7,7,4,0,0,1,3962661,484,9.490196078,644,16.8888,626,0.0696,79,2.5502,77,0.0033,503,14.2831,497,0.0492,2.3,1.14,1,0,27,295,0.969491525,1091.171329,747.9802104,-0.554241896,0.604954637,3083,417,0.997601918,2337,746,8,10,3,2,0,1,1,0,3,0,937,6,4
adjective,3,2,2,0,0,0,7521332,1097,21.50980392,2868,75.2128,2729,0.3035,2835,91.516,2814,0.1192,755,21.4389,743,0.0735,2.43,1.55,1,0,28,249,0.991967871,937.6356275,462.9617414,-0.632171009,0.647781074,570,401,1,918,-348,9,10,3,1,0,1,0,0,0,0,0,3,0
noun,5,3,2,2,1,0,5619474,240,4.705882353,902,23.6548,882,0.0981,242,7.8119,239,0.0101,346,9.825,346,0.0342,2.3,1.18,1,0,30,228,0.942982456,977.2139535,558.9930038,-0.612292042,0.489050548,5636,379,0.994722955,7225,-1589,7,10,2,1,0,1,0,0,0,0,0,3,3
verb,5,3,3,2,2,2,5619474,46,0.901960784,902,23.6548,882,0.0981,242,7.8119,239,0.0101,346,9.825,346,0.0342,2.3,1.18,1,0,30,228,0.942982456,977.2139535,558.9930038,-0.612292042,0.489050548,5636,379,0.994722955,7225,-1589,7,10,2,1,0,1,0,0,0,0,0,3,3
adjective,2,1,1,0,0,0,3812221,514,10.07843137,568,14.8957,563,0.0626,148,4.7776,147,0.0062,220,6.2471,219,0.0217,2.86,1.38,1,0,29,294,0.942176871,1090.815884,555.9645281,-0.518262988,0.6190371,5711,412,0.997572816,2563,3148,9,12,3,1,0,1,0,0,0,0,0,3,3
verb,12,7,10,11,8,0,22807066,1439,28.21568627,1009,26.4608,968,0.1076,734,23.6941,721,0.0305,1241,35.2393,1220,0.1208,3.12,1.42,1,0,25,237,0.974683544,959.8917749,411.9365838,-0.671974883,0.503463819,2531,421,0.995249406,5325,-2794,7,9,3,1,0,1,0,0,0,0,0,6,2
noun,7,5,6,7,6,0,117119498,1016,19.92156863,991,25.9888,917,0.102,896,28.9236,875,0.0371,1002,28.4527,950,0.094,3.69,1.12,1,0,26,263,0.969581749,942.1764706,426.7753704,-0.657613157,0.490441297,3071,420,0.997619048,2196,875,8,11,4,2,0,1,1,0,1,0,2486,6,3
noun,11,2,2,5,4,1,44858110,305,5.980392157,1510,39.5995,1375,0.1529,781,25.2113,763,0.0323,2806,79.6789,2656,0.2629,2.2,1.27,1,0,30,237,0.953586498,986.5752212,523.0953736,-0.610952561,0.637362615,4660,414,0.992753623,8626,-3966,6,10,2,2,1,1,0,2,0,275,0,5,3
verb,11,2,2,5,3,1,44858110,568,11.1372549,1510,39.5995,1375,0.1529,781,25.2113,763,0.0323,2806,79.6789,2656,0.2629,2.2,1.27,1,0,30,237,0.953586498,986.5752212,523.0953736,-0.610952561,0.637362615,4660,414,0.992753623,8626,-3966,6,10,2,2,1,1,0,2,0,275,0,5,3
noun,3,3,2,3,1,0,20255935,338,6.62745098,966,25.3332,819,0.0911,315,10.1684,309,0.0131,632,17.9462,606,0.06,1.78,1.01,1,0,27,246,0.979674797,1141.087137,806.2660778,-0.514147921,0.715627174,1948,375,0.986666667,13875,-11927,9,12,4,2,0,2,0,0,0,0,0,19,3
adjective,3,7,1,0,0,1,22316965,180,3.529411765,983,25.779,902,0.1003,249,8.0379,249,0.0106,4462,126.7025,4177,0.4135,1.74,0.98,1,0,27,245,0.983673469,1080.605809,581.8908745,-0.545388222,0.537545574,1490,439,0.995444191,4857,-3367,10,14,4,3,0,2,1,0,2,0,1014,32,3
noun,3,5,2,3,2,0,4602331,1589,31.15686275,315,8.2608,277,0.0308,122,3.9383,122,0.0052,58,1.647,57,0.0056,3.32,1.66,1,0,28,236,0.944915254,950.9192825,467.2220017,-0.654554122,0.519854816,5450,424,0.995283019,5225,225,5,9,2,1,0,1,0,0,0,0,0,6,4
verb,4,5,4,4,4,1,14807121,238,4.666666667,526,13.7943,516,0.0574,105,3.3895,103,0.0044,492,13.9708,488,0.0483,2.53,1.28,1,0,30,263,0.954372624,1174.896414,773.6764525,-0.478268441,0.688134896,4585,416,0.992788462,8563,-3978,11,16,3,3,1,1,1,2,3,275,937,14,3
noun,5,1,3,5,3,1,6157847,268,5.254901961,387,10.149,364,0.0405,184,5.9397,181,0.0077,247,7.0138,240,0.0238,2.46,1.48,1,0,28,248,0.850806452,1028.758294,596.9608214,-0.584215968,0.519799123,13646,445,0.997752809,1647,11999,6,12,3,2,0,1,1,0,2,0,1431,6,4
verb,4,4,2,4,2,0,483368,44,0.862745098,52,1.3637,50,0.0056,11,0.3551,11,0.0005,49,1.3914,49,0.0049,1.83,1.09,0.888888889,3,27,282,0.677304965,1295.282723,761.56421,-0.265857591,0.669488199,27284,413,0.987893462,12957,14327,8,11,2,1,0,1,0,0,0,0,0,1,4
adjective,5,3,3,0,0,0,5225392,107,2.098039216,415,10.8833,405,0.045,73,2.3565,72,0.0031,311,8.8311,307,0.0304,3.14,1.53,1,0,29,264,0.871212121,1031.895652,602.2701141,-0.544401101,0.616335197,11875,426,0.983568075,15391,-3516,5,7,1,1,0,1,0,0,0,0,0,6,4
noun,2,2,2,2,1,1,18346206,73,1.431372549,171,4.4844,148,0.0165,61,1.9691,59,0.0025,144,4.089,133,0.0132,2.52,1.48,1,0,29,282,0.925531915,1064.858238,700.029702,-0.470757045,0.71451461,7207,406,0.987684729,13147,-5940,7,10,3,2,0,1,1,0,3,0,580,6,4
noun,1,4,1,1,1,0,4638330,571,11.19607843,293,7.6839,235,0.0261,596,19.2393,583,0.0247,236,6.7014,217,0.0215,4.93,0.26,1,0,29,255,0.988235294,851.3214286,296.3372619,-0.769401504,0.320528175,990,388,0.992268041,9690,-8700,7,10,2,2,0,1,1,0,3,0,462,9,1
verb,7,4,3,6,3,2,7211272,1089,21.35294118,709,18.5934,663,0.0737,348,11.2337,336,0.0142,606,17.2079,601,0.0595,2.2,1.27,1,0,30,258,0.910852713,1081.421277,664.6812207,-0.494631211,0.782849449,8470,357,0.99719888,4528,3942,4,9,2,1,0,1,0,0,0,0,0,6,3
verb,6,7,6,6,5,3,4975122,109,2.137254902,151,3.9599,149,0.0166,60,1.9368,59,0.0025,141,4.0038,140,0.0139,2.86,1.51,1,0,28,294,0.952380952,1053.978571,547.9979131,-0.550763812,0.596208888,4775,405,0.995061728,6020,-1245,6,9,2,1,0,1,0,0,0,0,0,2,3
noun,3,2,1,3,1,0,197293325,3247,63.66666667,2812,73.7442,2558,0.2844,665,21.4667,654,0.0277,14265,405.0676,13214,1.308,3.3,1.44,1,0,27,278,0.982014388,972.6849817,404.034465,-0.62174675,0.464269139,1690,355,0.983098592,15593,-13903,10,13,3,1,0,1,0,0,0,0,0,4,1
noun,3,7,3,3,2,0,12111116,274,5.37254902,362,9.4934,350,0.0389,91,2.9376,91,0.0039,818,23.2279,808,0.08,3.07,1.34,1,0,30,274,0.96350365,1019.401515,528.8564873,-0.563529632,0.613134797,3716,387,1,1135,2581,9,12,3,2,0,1,1,0,3,0,98,2,2
verb,2,1,1,2,1,0,10224227,506,9.921568627,491,12.8764,472,0.0525,260,8.393,253,0.0107,579,16.4412,568,0.0562,1.89,1.2,1,0,28,295,0.962711864,972.4471831,500.0309538,-0.634992705,0.560345816,3784,383,1,628,3156,6,9,2,2,1,1,0,2,0,275,0,34,1
noun,2,3,2,2,2,0,5780801,21,0.411764706,127,3.3306,119,0.0132,38,1.2267,38,0.0016,128,3.6347,128,0.0127,2.15,1.26,1,0,27,240,0.970833333,1312.832618,870.2628628,-0.29053873,0.845643438,2953,427,0.988290398,12688,-9735,10,12,3,3,1,1,1,2,4,275,323,34,4
adjective,7,7,4,0,0,2,19261238,112,2.196078431,453,11.8798,435,0.0484,109,3.5186,107,0.0045,268,7.6101,260,0.0257,2.32,1.25,1,0,25,290,0.975862069,1100.116608,648.2829507,-0.507602534,0.601497744,2397,485,0.987628866,13203,-10806,9,12,3,3,1,1,1,2,3,275,464,34,3
verb,3,5,3,3,2,0,1503760,27,0.529411765,92,2.4127,92,0.0102,7,0.226,7,0.0003,89,2.5272,89,0.0088,2.13,1.07,1,0,30,266,0.661654135,1115.914773,588.6009646,-0.433366343,0.575973877,28460,360,0.986111111,14101,14359,6,9,2,2,1,1,0,2,0,275,0,10,4
verb,2,1,0,2,2,0,3898491,135,2.647058824,68,1.7833,67,0.0075,41,1.3235,40,0.0017,121,3.4359,120,0.0119,2.96,1.4,1,0,28,258,0.794573643,1012.170732,447.2943115,-0.571212573,0.548837595,18409,418,0.992822967,8467,9942,6,10,2,1,0,1,0,0,0,0,0,4,4
noun,1,2,0,1,1,0,9774331,64,1.254901961,148,3.8813,138,0.0153,65,2.0983,64,0.0027,182,5.1681,173,0.0171,2.9,1.37,1,0,29,307,0.850162866,1244.862069,878.0499527,-0.33451308,0.856429471,13699,435,0.983908046,15239,-1540,10,14,3,2,0,1,1,0,4,0,288,4,4
noun,12,3,7,9,7,0,19026524,432,8.470588235,301,7.8937,264,0.0294,154,4.9712,150,0.0064,387,10.9892,369,0.0365,3.92,1.23,1,0,26,235,0.961702128,979.2389381,511.1716698,-0.617280785,0.570401186,3878,418,0.995215311,5407,-1529,7,10,3,1,0,1,0,0,0,0,0,6,3
verb,12,3,3,3,3,2,19026524,119,2.333333333,301,7.8937,264,0.0294,154,4.9712,150,0.0064,387,10.9892,369,0.0365,3.92,1.23,1,0,26,235,0.961702128,979.2389381,511.1716698,-0.617280785,0.570401186,3878,418,0.995215311,5407,-1529,7,10,3,1,0,1,0,0,0,0,0,6,4
adjective,4,2,2,0,0,0,3358586,761,14.92156863,500,13.1124,470,0.0523,521,16.8183,514,0.0218,306,8.6891,298,0.0295,1.93,1.18,1,0,28,270,0.966666667,1003.279693,526.1951692,-0.612676874,0.487861142,3390,427,0.99765808,1977,1413,9,10,2,2,1,1,0,2,0,275,0,73,3
noun,10,3,6,9,6,2,15527836,404,7.921568627,1011,26.5133,920,0.1023,363,11.7179,356,0.0151,836,23.739,772,0.0764,2.39,1.5,1,0,28,225,0.982222222,977.7737557,549.6299031,-0.629043429,0.517427453,1665,366,0.994535519,7566,-5901,10,11,3,3,1,1,1,2,3,275,1599,73,3
verb,3,3,2,3,3,1,702310,65,1.274509804,59,1.5473,58,0.0064,23,0.7425,23,0.001,43,1.221,42,0.0042,2.21,1.34,1,0,28,287,0.777003484,1131.919283,584.2833007,-0.455918287,0.609534132,19769,406,0.990147783,11316,8453,7,11,2,1,0,1,0,0,0,0,0,2,4
noun,5,1,2,6,3,0,31879926,422,8.274509804,1062,27.8508,1016,0.113,294,9.4905,292,0.0124,1057,30.0145,1033,0.1023,3.11,1.22,1,0,27,267,0.928838951,1022.516129,730.8994623,-0.586585556,0.752757473,6943,401,0.990024938,11486,-4543,5,7,1,1,0,1,0,0,0,0,0,1,3
noun,4,4,3,4,2,0,13747486,792,15.52941176,504,13.2173,463,0.0515,75,2.4211,74,0.0031,1926,54.6905,1821,0.1803,4.07,1.03,1,0,29,270,0.87037037,1092.944681,728.5154155,-0.557019817,0.554641857,11965,351,0.997150997,4569,7396,6,11,3,1,0,1,0,0,0,0,0,1,4
verb,5,6,4,4,3,0,3253144,33,0.647058824,87,2.2816,87,0.0097,19,0.6133,18,0.0008,41,1.1642,41,0.0041,2,1.41,0.966666667,1,30,243,0.810699588,1166.238579,683.0619828,-0.452816319,0.673998999,17078,351,0.982905983,15681,1397,6,10,2,1,0,1,0,0,0,0,0,6,3
verb,4,7,4,3,1,1,1079518,98,1.921568627,122,3.1994,118,0.0131,13,0.4197,13,0.0006,89,2.5272,87,0.0086,3.18,1.39,1,0,28,251,0.93625498,1095.442553,549.4028381,-0.485406457,0.614735971,6258,403,0.995037221,6159,99,7,9,2,1,0,1,0,0,0,0,0,2,4
noun,6,2,4,6,6,1,3294727,131,2.568627451,267,7.002,249,0.0277,53,1.7109,53,0.0022,193,5.4804,190,0.0188,3,1.27,1,0,27,245,0.92244898,1189.699115,862.5096445,-0.414372768,0.715588864,7496,373,0.991957105,10155,-2659,7,9,2,2,1,1,0,2,0,275,0,4,4
verb,4,5,4,3,2,0,24616555,866,16.98039216,1657,43.4545,1598,0.1777,735,23.7264,732,0.031,904,25.6699,889,0.088,2.18,1.36,1,0,28,283,0.971731449,1015.454545,583.4402257,-0.599359942,0.601626315,2867,358,0.997206704,4512,-1645,8,12,2,2,1,1,0,2,0,275,0,42,0
noun,3,2,1,3,2,0,196301245,644,12.62745098,1277,33.4891,1220,0.1357,377,12.1699,374,0.0158,603,17.1227,595,0.0589,2.43,1.29,1,0,28,255,0.97254902,1063.443548,667.7304276,-0.53443736,0.635030925,2785,389,0.997429306,3677,-892,11,13,3,3,1,1,1,2,3,275,1599,42,0
verb,1,2,1,1,1,0,6619274,2231,43.74509804,1124,29.4767,1057,0.1175,2205,71.1791,2167,0.0918,841,23.881,815,0.0807,1.69,1.07,1,0,29,275,0.963636364,998.6679245,652.8863734,-0.623901972,0.558483774,3698,381,0.997375328,4043,-345,7,9,2,2,1,1,0,2,0,275,0,43,3
noun,14,2,6,7,5,0,264448339,626,12.2745098,6115,160.3648,5145,0.5721,3480,112.3371,3288,0.1393,3255,92.4287,3014,0.2983,3.27,1.59,1,0,26,230,0.982608696,917.7964602,437.1583829,-0.74049312,0.413449788,1616,395,0.989873418,11668,-10052,6,10,2,1,0,1,0,0,0,0,0,5,0
verb,14,2,2,7,3,0,264448339,197,3.862745098,6115,160.3648,5145,0.5721,3480,112.3371,3288,0.1393,3255,92.4287,3014,0.2983,3.27,1.59,1,0,26,230,0.982608696,917.7964602,437.1583829,-0.74049312,0.413449788,1616,395,0.989873418,11668,-10052,6,10,2,1,0,1,0,0,0,0,0,5,0
verb,5,1,5,4,4,0,3277319,30,0.588235294,42,1.1014,42,0.0047,14,0.4519,14,0.0006,82,2.3285,81,0.008,3.14,1.63,0.965517241,1,29,310,0.903225806,1255.728571,743.0434204,-0.314534167,0.69287577,9130,439,0.977220957,17803,-8673,9,14,3,2,0,1,1,0,3,0,937,5,4
noun,4,7,5,5,2,0,30641959,267,5.235294118,1632,42.7989,1473,0.1638,749,24.1783,732,0.031,1107,31.4343,1042,0.1031,3.78,1.28,1,0,27,242,0.987603306,993.8158996,584.6752165,-0.607068973,0.566893143,1085,386,0.994818653,6984,-5899,8,11,3,2,0,1,1,0,2,0,2274,5,1
adjective,2,7,1,0,0,1,5898611,98,1.921568627,246,6.4513,236,0.0262,47,1.5172,47,0.002,156,4.4298,155,0.0153,1.92,1.19,1,0,25,252,0.932539683,1121.153191,771.6914447,-0.497177541,0.712313398,6585,355,0.994366197,7711,-1126,9,17,4,2,0,1,1,0,4,0,872,8,4
noun,6,1,0,3,3,0,17783181,822,16.11764706,2755,72.2494,2529,0.2812,818,26.4057,756,0.032,1097,31.1503,1087,0.1076,1.7,1.26,1,0,30,243,0.958847737,961.2103004,645.4960759,-0.700068965,0.440534625,4147,391,0.997442455,3608,539,6,11,2,1,0,1,0,0,0,0,0,8,3
verb,6,1,2,2,1,0,17783181,207,4.058823529,2755,72.2494,2529,0.2812,818,26.4057,756,0.032,1097,31.1503,1087,0.1076,1.7,1.26,1,0,30,243,0.958847737,961.2103004,645.4960759,-0.700068965,0.440534625,4147,391,0.997442455,3608,539,6,11,2,1,0,1,0,0,0,0,0,8,3
noun,1,1,0,1,1,0,32311444,2237,43.8627451,1560,40.9107,1398,0.1555,1408,45.4513,1375,0.0583,772,21.9216,741,0.0733,4.87,0.51,1,0,30,238,0.974789916,889.7155172,391.7922589,-0.753938967,0.555247229,2516,389,0.997429306,3697,-1181,4,7,1,1,0,1,0,0,0,0,0,2,0
noun,2,4,1,2,0,0,48850257,5,0.098039216,183,4.7991,165,0.0183,339,10.9432,331,0.014,116,3.2939,109,0.0108,4.46,0.99,1,0,26,257,0.949416342,955.5081967,447.1370887,-0.655012928,0.537321313,5047,365,0.991780822,10302,-5255,4,7,1,1,0,1,0,0,0,0,0,2,4
adjective,7,2,4,0,0,0,9350873,1310,25.68627451,995,26.0937,951,0.1058,549,17.7221,531,0.0225,711,20.1895,694,0.0687,1.73,1.08,0.962962963,1,27,241,0.933609959,1044.475556,535.5357136,-0.512841317,0.631533172,6485,395,0.987341772,13442,-6957,9,11,3,1,0,1,0,0,0,0,0,3,3
preposition,2,4,0,0,0,0,28148989,662,12.98039216,4830,126.6659,4700,0.5226,951,30.699,949,0.0402,5622,159.6418,5577,0.552,1.33,0.66,1,0,30,256,0.92578125,992.649789,606.4199331,-0.619979824,0.5943597,7191,417,0.988009592,12867,-5676,7,11,2,1,0,1,0,0,0,0,0,1,2
verb,4,3,4,3,3,0,9811516,2404,47.1372549,1106,29.0047,1040,0.1156,487,15.7207,481,0.0204,349,9.9102,341,0.0338,3.08,1.2,1,0,26,243,0.987654321,993.6458333,611.7206232,-0.649271118,0.623540253,1073,399,0.997493734,3169,-2096,7,11,2,1,0,1,0,0,0,0,0,2,1
adjective,1,3,1,0,0,0,52396856,167,3.274509804,911,23.8908,891,0.0991,151,4.8744,151,0.0064,904,25.6699,900,0.0891,2.27,1.12,1,0,22,232,0.961206897,1100.511211,657.6746701,-0.522030809,0.599117535,3930,403,0.990074442,11407,-7477,8,12,2,1,0,1,0,0,0,0,0,1,3
verb,3,2,3,2,2,2,486373,94,1.843137255,44,1.1539,42,0.0047,8,0.2582,8,0.0003,52,1.4766,51,0.005,2.74,1.46,1,0,27,297,0.757575758,1137.164444,672.8214676,-0.443829737,0.672324059,21361,395,0.987341772,13446,7915,6,10,2,2,1,1,0,2,0,275,0,18,4
verb,1,5,1,1,1,0,8431562,261,5.117647059,197,5.1663,184,0.0205,59,1.9046,59,0.0025,232,6.5879,230,0.0228,2.19,1.33,1,0,27,267,0.95505618,1020.266667,632.423298,-0.609638152,0.572205736,4528,399,0.994987469,6349,-1821,6,9,2,1,0,1,0,0,0,0,0,7,3
noun,4,2,4,4,0,0,17559678,85,1.666666667,119,3.1208,102,0.0113,59,1.9046,59,0.0025,152,4.3162,148,0.0146,2.57,1.28,1,0,30,287,0.940766551,1126.118519,654.28228,-0.446553223,0.661419117,5843,431,0.988399072,12623,-6780,9,11,3,2,0,1,1,0,3,0,1599,7,4
noun,2,6,1,2,2,0,5353706,3092,60.62745098,580,15.2104,509,0.0566,91,2.9376,89,0.0038,1009,28.6515,940,0.093,4.21,0.88,1,0,28,282,0.982269504,954.6967509,446.8110701,-0.649467072,0.504628925,1660,433,0.995381062,4973,-3313,9,11,3,2,0,1,1,0,3,0,580,7,1
noun,2,4,1,2,0,0,5003311,331,6.490196078,203,5.3236,181,0.0201,134,4.3256,133,0.0056,472,13.4029,453,0.0448,3.26,1.48,1,0,27,281,0.87544484,1078.544715,544.2253773,-0.489035527,0.584813283,11517,402,0.997512438,3053,8464,9,11,3,3,1,1,1,2,3,275,1599,10,4
verb,2,3,1,2,2,1,550543,27,0.529411765,42,1.1014,41,0.0046,9,0.2905,9,0.0004,51,1.4482,51,0.005,3,1.14,1,0,30,257,0.747081712,1212.59375,758.8601962,-0.351218985,0.657700607,22153,427,0.990632319,10751,11402,11,19,5,1,0,1,0,0,0,0,0,2,4
noun,4,4,4,5,4,0,17237730,142,2.784313725,475,12.4568,463,0.0515,217,7.0049,216,0.0092,400,11.3584,396,0.0392,1.7,1.1,1,0,27,266,0.969924812,1063.127907,529.1288001,-0.513560327,0.587879996,3045,400,1,1458,1587,13,18,5,2,0,1,1,0,3,0,1599,20,3
verb,8,3,7,4,8,0,42707469,428,8.392156863,1099,28.8211,1066,0.1185,377,12.1699,370,0.0157,2108,59.8586,2086,0.2065,2.13,1.22,1,0,23,297,0.976430976,1011.989655,545.5025142,-0.625078623,0.454636057,2330,433,0.993071594,8080,-5750,9,11,3,1,0,1,0,0,0,0,0,20,2
adjective,5,1,2,0,0,1,34600925,150,2.941176471,1596,41.8548,1562,0.1737,441,14.2358,439,0.0186,2014,57.1894,1997,0.1977,1.79,1.08,1,0,29,295,0.969491525,1027.923077,493.2510492,-0.578686229,0.510184827,3082,442,0.997737557,1685,1397,10,12,3,1,0,1,0,0,0,0,0,20,2
verb,2,7,1,2,1,0,144432,18,0.352941176,12,0.3147,12,0.0013,5,0.1614,5,0.0002,33,0.9371,32,0.0032,2.29,1.33,0.933333333,2,30,269,0.87732342,1161.351695,706.5944029,-0.36427617,0.662165609,11337,401,0.972568579,19222,-7885,9,14,3,1,0,1,0,0,0,0,0,3,4
