words,length_of_word,length_of_phonetics,num_of_syllables,num_of_morph,num_of_prefix,num_of_roots,num_of_suff,total_pref_length,total_suff_length,pref_famsize,suff_famsize,root_famsize,lowest_level
main,4,8,1,1,0,1,0,0,0,0,0,8,a1
make,4,8,1,1,0,1,0,0,0,0,0,40,a1
man,3,6,1,1,0,1,0,0,0,0,0,211,a1
many,4,7,2,1,0,1,0,0,0,0,0,1,a1
map,3,6,1,1,0,1,0,0,0,0,0,1,a1
march,5,9,1,1,0,1,0,0,0,0,0,3,a1
market,6,9,2,1,0,1,0,0,0,0,0,10,a1
married,7,8,2,1,0,1,0,0,0,0,0,4,a1
match,5,8,1,1,0,1,0,0,0,0,0,13,a1
may,3,7,1,1,0,1,0,0,0,0,0,8,a1
maybe,5,10,2,1,0,1,0,0,0,0,0,1,a1
me,2,6,#N/A,1,0,1,0,0,0,0,0,1,a1
meal,4,7,1,1,0,1,0,0,0,0,0,11,a1
mean,4,7,1,1,0,1,0,0,0,0,0,14,a1
meaning,7,9,2,1,0,1,0,0,0,0,0,14,a1
meat,4,7,1,1,0,1,0,0,0,0,0,11,a1
meet,4,7,1,1,0,1,0,0,0,0,0,3,a1
meeting,7,9,2,1,0,1,0,0,0,0,0,3,a1
member,6,8,2,1,0,1,0,0,0,0,0,5,a1
menu,4,9,2,1,0,1,0,0,0,0,0,1,a1
message,7,10,2,1,0,1,0,0,0,0,0,1,a1
metre,5,8,#N/A,1,0,1,0,0,0,0,0,5,a1
midnight,8,11,2,2,1,1,0,3,0,19,0,30,a1
mile,4,8,1,1,0,1,0,0,0,0,0,4,a1
milk,4,7,1,1,0,1,0,0,0,0,0,13,a1
million,7,10,2,1,0,1,0,0,0,0,0,5,a1
minute,6,#N/A,#N/A,1,0,1,0,0,0,0,0,7,a1
miss,4,6,1,1,0,1,0,0,0,0,0,11,a1
mistake,7,11,2,2,1,1,0,3,0,111,0,31,a1
model,5,9,2,1,0,1,0,0,0,0,0,3,a1
modern,6,8,2,1,0,1,0,0,0,0,0,9,a1
moment,6,11,2,1,0,1,0,0,0,0,0,8,a1
monday,6,#N/A,#N/A,2,0,2,0,0,0,0,0,36,a1
money,5,7,2,1,0,1,0,0,0,0,0,8,a1
month,5,7,1,1,0,1,0,0,0,0,0,4,a1
more,4,6,1,1,0,1,0,0,0,0,0,6,a1
morning,7,9,2,1,0,1,0,0,0,0,0,2,a1
most,4,9,1,1,0,1,0,0,0,0,0,19,a1
mother,6,#N/A,#N/A,1,0,1,0,0,0,0,0,12,a1
mountain,8,11,2,1,0,1,0,0,0,0,0,6,a1
mouse,5,#N/A,#N/A,1,0,1,0,0,0,0,0,9,a1
mouth,5,#N/A,#N/A,1,0,1,0,0,0,0,0,9,a1
move,4,7,1,1,0,1,0,0,0,0,0,17,a1
movie,5,8,2,2,0,1,1,0,1,0,2486,17,a1
much,4,8,1,1,0,1,0,0,0,0,0,4,a1
mum,3,6,1,1,0,1,0,0,0,0,0,2,a1
museum,6,12,3,1,0,1,0,0,0,0,0,1,a1
music,5,10,2,1,0,1,0,0,0,0,0,8,a1
must,4,7,1,1,0,1,0,0,0,0,0,5,a1
my,2,7,#N/A,1,0,1,0,0,0,0,0,3,a1
name,4,8,1,1,0,1,0,0,0,0,0,12,a1
natural,7,13,3,2,0,1,1,0,2,0,1431,22,a1
near,4,7,1,1,0,1,0,0,0,0,0,10,a1
need,4,7,1,1,0,1,0,0,0,0,0,11,a1
negative,8,11,3,3,0,1,2,0,6,0,1517,5,a1
neighbour,9,9,#N/A,1,0,1,0,0,0,0,0,4,a1
never,5,7,2,1,0,1,0,0,0,0,0,3,a1
new,3,7,1,1,0,1,0,0,0,0,0,46,a1
news,4,8,1,1,0,1,0,0,0,0,0,46,a1
newspaper,9,14,3,2,0,2,0,0,0,0,0,63,a1
next,4,8,1,1,0,1,0,0,0,0,0,1,a1
nice,4,#N/A,#N/A,1,0,1,0,0,0,0,0,6,a1
night,5,8,1,1,0,1,0,0,0,0,0,30,a1
nine,4,8,1,1,0,1,0,0,0,0,0,13,a1
nineteen,8,12,2,2,0,1,1,0,4,0,14,13,a1
ninety,6,10,2,2,0,1,1,0,3,0,580,13,a1
no,2,#N/A,#N/A,1,0,1,0,0,0,0,0,6,a1
nobody,6,12,3,2,0,2,0,0,0,0,0,24,a1
north,5,7,1,1,0,1,0,0,0,0,0,17,a1
nose,4,8,1,1,0,1,0,0,0,0,0,10,a1
not,3,6,1,1,0,1,0,0,0,0,0,4,a1
note,4,8,1,1,0,1,0,0,0,0,0,21,a1
nothing,7,8,2,2,0,2,0,0,0,0,0,15,a1
november,8,#N/A,#N/A,1,0,1,0,0,0,0,0,1,a1
now,3,7,1,1,0,1,0,0,0,0,0,2,a1
number,6,#N/A,#N/A,1,0,1,0,0,0,0,0,5,a1
nurse,5,7,1,1,0,1,0,0,0,0,0,5,a1
o'clock,7,8,#N/A,1,0,1,0,0,0,0,0,1,a1
object,6,#N/A,#N/A,2,1,1,0,2,0,25,0,36,a1
october,7,#N/A,#N/A,1,0,1,0,0,0,0,0,1,a1
of,2,5,#N/A,1,0,1,0,0,0,0,0,6,a1
off,3,5,1,1,0,1,0,0,0,0,0,18,a1
office,6,7,2,1,0,1,0,0,0,0,0,9,a1
often,5,7,2,1,0,1,0,0,0,0,0,4,a1
oh,2,6,#N/A,1,0,1,0,0,0,0,0,1,a1
old,3,8,1,1,0,1,0,0,0,0,0,7,a1
on,2,5,#N/A,1,0,1,0,0,0,0,0,4,a1
once,4,7,1,1,0,1,0,0,0,0,0,1,a1
one,3,6,1,1,0,1,0,0,0,0,0,9,a1
onion,5,9,2,1,0,1,0,0,0,0,0,1,a1
only,4,9,2,1,0,1,0,0,0,0,0,1,a1
open,4,9,2,1,0,1,0,0,0,0,0,10,a1
opinion,7,11,3,1,0,1,0,0,0,0,0,3,a1
opposite,8,10,3,3,1,1,1,1,3,9,45,55,a1
or,2,5,#N/A,1,0,1,0,0,0,0,0,1,a1
orange,6,10,2,1,0,1,0,0,0,0,0,4,a1
order,5,7,2,1,0,1,0,0,0,0,0,7,a1
other,5,6,2,1,0,1,0,0,0,0,0,3,a1
our,3,8,1,1,0,1,0,0,0,0,0,2,a1
out,3,7,1,1,0,1,0,0,0,0,0,35,a1
outside,7,#N/A,#N/A,2,1,1,0,3,0,107,0,58,a1
over,4,8,1,1,0,1,0,0,0,0,0,20,a1
own,3,7,1,1,0,1,0,0,0,0,0,9,a1
page,4,10,1,1,0,1,0,0,0,0,0,4,a1
paint,5,9,1,1,0,1,0,0,0,0,0,9,a1
painting,8,11,2,1,0,1,0,0,0,0,0,9,a1
pair,4,7,1,1,0,1,0,0,0,0,0,13,a1
paper,5,9,2,1,0,1,0,0,0,0,0,17,a1
paragraph,9,12,3,2,0,2,0,0,0,0,0,148,a1
parent,6,11,2,1,0,1,0,0,0,0,0,7,a1
park,4,7,1,1,0,1,0,0,0,0,0,7,a1
part,4,7,1,1,0,1,0,0,0,0,0,22,a1
partner,7,9,2,1,0,1,0,0,0,0,0,2,a1
party,5,8,2,1,0,1,0,0,0,0,0,1,a1
passport,8,11,2,2,0,2,0,0,0,0,0,55,a1
past,4,8,1,1,0,1,0,0,0,0,0,5,a1
pay,3,7,1,1,0,1,0,0,0,0,0,27,a1
pen,3,6,1,1,0,1,0,0,0,0,0,11,a1
pencil,6,10,2,1,0,1,0,0,0,0,0,1,a1
people,6,10,2,1,0,1,0,0,0,0,0,5,a1
pepper,6,7,2,1,0,1,0,0,0,0,0,4,a1
perfect,7,#N/A,#N/A,2,1,1,0,3,0,54,0,59,a1
period,6,11,3,1,0,1,0,0,0,0,0,5,a1
person,6,9,2,1,0,1,0,0,0,0,0,24,a1
personal,8,12,3,2,0,1,1,0,2,0,1431,24,a1
phone,5,8,1,1,0,1,0,0,0,0,0,41,a1
photo,5,11,2,1,0,1,0,0,0,0,0,29,a1
photograph,10,14,3,2,0,2,0,0,0,0,0,145,a1
phrase,6,9,1,1,0,1,0,0,0,0,0,8,a1
piano,5,10,2,1,0,1,0,0,0,0,0,5,a1
picture,7,10,2,2,0,1,1,0,3,0,98,10,a1
piece,5,7,1,1,0,1,0,0,0,0,0,23,a1
pig,3,6,1,1,0,1,0,0,0,0,0,19,a1
pink,4,7,1,1,0,1,0,0,0,0,0,6,a1
place,5,9,1,1,0,1,0,0,0,0,0,21,a1
plan,4,7,1,1,0,1,0,0,0,0,0,3,a1
plane,5,9,1,1,0,1,0,0,0,0,0,15,a1
plant,5,8,1,1,0,1,0,0,0,0,0,11,a1
play,4,8,1,1,0,1,0,0,0,0,0,36,a1
player,6,9,2,2,0,1,1,0,2,0,2274,36,a1
please,6,8,1,1,0,1,0,0,0,0,0,17,a1
point,5,9,1,1,0,1,0,0,0,0,0,22,a1
police,6,9,2,1,0,1,0,0,0,0,0,5,a1
policeman,9,12,3,2,0,2,0,0,0,0,0,216,a1
pool,4,7,1,1,0,1,0,0,0,0,0,4,a1
poor,4,6,1,1,0,1,0,0,0,0,0,6,a1
popular,7,10,3,2,0,1,1,0,2,0,129,19,a1
positive,8,11,3,2,0,1,1,0,3,0,580,17,a1
possible,8,11,3,1,0,1,0,0,0,0,0,6,a1
post,4,9,1,1,0,1,0,0,0,0,0,23,a1
potato,6,13,3,1,0,1,0,0,0,0,0,1,a1
pound,5,9,1,1,0,1,0,0,0,0,0,5,a1
practice,8,10,2,2,0,1,1,0,3,0,16,21,a1
practise,8,10,2,2,0,1,1,0,3,0,430,21,a1
prefer,6,9,2,1,0,1,0,0,0,0,0,7,a1
prepare,7,10,2,1,0,1,0,0,0,0,0,6,a1
present,7,#N/A,#N/A,1,0,1,0,0,0,0,0,11,a1
pretty,6,8,2,1,0,1,0,0,0,0,0,6,a1
price,5,9,1,1,0,1,0,0,0,0,0,8,a1
probably,8,11,3,3,0,1,2,0,5,0,3358,16,a1
problem,7,10,2,1,0,1,0,0,0,0,0,5,a1
product,7,10,2,2,1,1,0,3,0,119,0,67,a1
programme,9,12,2,1,0,1,0,0,0,0,0,1,a1
project,7,#N/A,#N/A,2,1,1,0,3,0,119,0,36,a1
purple,6,10,2,1,0,1,0,0,0,0,0,5,a1
put,3,#N/A,#N/A,1,0,1,0,0,0,0,0,7,a1
quarter,7,9,2,1,0,1,0,0,0,0,0,9,a1
question,8,12,2,1,0,1,0,0,0,0,0,11,a1
quick,5,7,1,1,0,1,0,0,0,0,0,12,a1
quickly,7,9,2,2,0,1,1,0,2,0,2898,12,a1
quiet,5,11,2,1,0,1,0,0,0,0,0,11,a1
quite,5,#N/A,#N/A,1,0,1,0,0,0,0,0,1,a1
radio,5,13,3,1,0,1,0,0,0,0,0,33,a1
rain,4,8,1,1,0,1,0,0,0,0,0,12,a1
read,4,#N/A,#N/A,1,0,1,0,0,0,0,0,13,a1
reader,6,8,2,2,0,1,1,0,2,0,2274,13,a1
reading,7,#N/A,#N/A,1,0,1,0,0,0,0,0,13,a1
ready,5,7,2,1,0,1,0,0,0,0,0,6,a1
real,4,#N/A,#N/A,1,0,1,0,0,0,0,0,16,a1
really,6,9,3,2,0,1,1,0,1,0,2486,16,a1
reason,6,9,2,1,0,1,0,0,0,0,0,10,a1
red,3,6,1,1,0,1,0,0,0,0,0,18,a1
relax,5,9,2,1,0,1,0,0,0,0,0,2,a1
remember,8,10,3,1,0,1,0,0,0,0,0,3,a1
repeat,6,9,2,1,0,1,0,0,0,0,0,3,a1
report,6,#N/A,#N/A,2,1,1,0,2,0,499,0,40,a1
restaurant,10,11,3,1,0,1,0,0,0,0,0,1,a1
result,6,9,2,1,0,1,0,0,0,0,0,2,a1
return,6,#N/A,#N/A,1,0,1,0,0,0,0,0,2,a1
rice,4,8,1,1,0,1,0,0,0,0,0,1,a1
rich,4,8,1,1,0,1,0,0,0,0,0,8,a1
ride,4,8,1,1,0,1,0,0,0,0,0,8,a1
right,5,8,1,1,0,1,0,0,0,0,0,23,a1
river,5,#N/A,#N/A,1,0,1,0,0,0,0,0,7,a1
road,4,8,1,1,0,1,0,0,0,0,0,20,a1
room,4,7,1,1,0,1,0,0,0,0,0,45,a1
routine,7,#N/A,#N/A,1,0,1,0,0,0,0,0,3,a1
rule,4,7,1,1,0,1,0,0,0,0,0,8,a1
run,3,6,1,1,0,1,0,0,0,0,0,17,a1
sad,3,6,1,1,0,1,0,0,0,0,0,6,a1
salad,5,8,2,1,0,1,0,0,0,0,0,1,a1
salt,4,7,1,1,0,1,0,0,0,0,0,11,a1
same,4,8,1,1,0,1,0,0,0,0,0,3,a1
sandwich,8,12,2,1,0,1,0,0,0,0,0,2,a1
saturday,8,#N/A,#N/A,2,0,2,0,0,0,0,0,36,a1
say,3,7,1,1,0,1,0,0,0,0,0,7,a1
school,6,8,1,1,0,1,0,0,0,0,0,27,a1
science,7,11,2,2,0,1,1,0,4,0,323,13,a1
scientist,9,14,2,3,0,1,2,0,6,0,926,13,a1
sea,3,6,1,1,0,1,0,0,0,0,0,32,a1
second,6,#N/A,#N/A,1,0,1,0,0,0,0,0,7,a1
section,7,9,2,2,0,1,1,0,3,0,1599,19,a1
see,3,6,1,1,0,1,0,0,0,0,0,21,a1
sell,4,6,1,1,0,1,0,0,0,0,0,9,a1
send,4,7,1,1,0,1,0,0,0,0,0,3,a1
sentence,8,10,2,1,0,1,0,0,0,0,0,3,a1
september,9,#N/A,#N/A,1,0,1,0,0,0,0,0,1,a1
seven,5,8,2,1,0,1,0,0,0,0,0,10,a1
seventeen,9,13,3,2,0,1,1,0,4,0,14,10,a1
seventy,7,10,3,2,0,1,1,0,3,0,580,10,a1
share,5,7,1,1,0,1,0,0,0,0,0,7,a1
she,3,6,1,1,0,1,0,0,0,0,0,1,a1
sheep,5,7,1,1,0,1,0,0,0,0,0,7,a1
shirt,5,7,1,1,0,1,0,0,0,0,0,13,a1
shoe,4,6,1,1,0,1,0,0,0,0,0,13,a1
shop,4,6,1,1,0,1,0,0,0,0,0,12,a1
shopping,8,8,2,1,0,1,0,0,0,0,0,12,a1
short,5,7,1,1,0,1,0,0,0,0,0,20,a1
should,6,6,1,1,0,1,0,0,0,0,0,1,a1
show,4,7,1,1,0,1,0,0,0,0,0,19,a1
shower,6,#N/A,#N/A,1,0,1,0,0,0,0,0,3,a1
sick,4,6,1,1,0,1,0,0,0,0,0,22,a1
similar,7,9,3,2,0,1,1,0,2,0,129,11,a1
sing,4,6,1,1,0,1,0,0,0,0,0,6,a1
singer,6,#N/A,#N/A,2,0,1,1,0,2,0,2274,6,a1
sister,6,8,2,1,0,1,0,0,0,0,0,4,a1
sit,3,6,1,1,0,1,0,0,0,0,0,4,a1
situation,9,17,4,2,0,1,1,0,3,0,1599,2,a1
six,3,7,1,1,0,1,0,0,0,0,0,13,a1
sixteen,7,11,2,2,0,1,1,0,4,0,14,13,a1
sixty,5,9,2,2,0,1,1,0,3,0,580,13,a1
skill,5,7,1,1,0,1,0,0,0,0,0,5,a1
skirt,5,8,1,1,0,1,0,0,0,0,0,3,a1
sleep,5,8,1,1,0,1,0,0,0,0,0,14,a1
slow,4,8,1,1,0,1,0,0,0,0,0,7,a1
small,5,8,1,1,0,1,0,0,0,0,0,9,a1
snake,5,9,1,1,0,1,0,0,0,0,0,7,a1
snow,4,8,1,1,0,1,0,0,0,0,0,19,a1
so,2,7,#N/A,1,0,1,0,0,0,0,0,9,a1
some,4,6,1,1,0,1,0,0,0,0,0,14,a1
somebody,8,10,3,2,0,2,0,0,0,0,0,32,a1
someone,7,9,2,2,0,2,0,0,0,0,0,23,a1
something,9,9,2,2,0,2,0,0,0,0,0,23,a1
sometimes,9,12,2,2,0,2,0,0,0,0,0,60,a1
son,3,6,1,1,0,1,0,0,0,0,0,46,a1
song,4,6,1,1,0,1,0,0,0,0,0,12,a1
soon,4,7,1,1,0,1,0,0,0,0,0,3,a1
sorry,5,7,2,1,0,1,0,0,0,0,0,3,a1
sound,5,9,1,1,0,1,0,0,0,0,0,10,a1
soup,4,7,1,1,0,1,0,0,0,0,0,1,a1
south,5,8,1,1,0,1,0,0,0,0,0,20,a1
space,5,9,1,1,0,1,0,0,0,0,0,17,a1
ability,7,11,4,2,0,1,1,0,3,0,580,11,a2
able,4,10,2,1,0,1,0,0,0,0,0,11,a2
abroad,6,9,2,1,0,1,0,0,0,0,0,1,a2
accept,6,9,2,1,0,1,0,0,0,0,0,7,a2
accident,8,11,3,1,0,1,0,0,0,0,0,3,a2
achieve,7,10,2,1,0,1,0,0,0,0,0,6,a2
act,3,6,1,1,0,1,0,0,0,0,0,59,a2
active,6,8,2,2,0,1,1,0,3,0,580,59,a2
actually,8,14,4,3,0,1,2,0,3,0,3917,59,a2
advantage,9,14,3,1,0,1,0,0,0,0,0,6,a2
adventure,9,12,3,2,0,1,1,0,3,0,98,12,a2
advertise,9,13,3,2,0,1,1,0,3,0,430,9,a2
advertisement,13,15,#N/A,3,0,1,2,0,7,0,718,9,a2
advertising,11,15,#N/A,2,0,1,1,0,3,0,430,9,a2
affect,6,#N/A,#N/A,2,1,1,0,1,0,309,0,59,a2
against,7,9,2,1,0,1,0,0,0,0,0,1,a2
ah,2,5,#N/A,1,0,1,0,0,0,0,0,1,a2
airline,7,11,2,2,0,2,0,0,0,0,0,113,a2
alive,5,9,2,2,1,1,0,1,0,309,0,14,a2
allow,5,8,2,1,0,1,0,0,0,0,0,5,a2
almost,6,12,2,1,0,1,0,0,0,0,0,1,a2
alone,5,9,2,1,0,1,0,0,0,0,0,2,a2
along,5,7,2,1,0,1,0,0,0,0,0,2,a2
already,7,10,3,1,0,1,0,0,0,0,0,1,a2
alternative,11,15,#N/A,3,0,1,2,0,6,0,1517,7,a2
although,8,9,2,2,1,1,0,2,0,4,0,2,a2
among,5,7,2,1,0,1,0,0,0,0,0,2,a2
amount,6,10,2,2,1,1,0,1,0,309,0,12,a2
ancient,7,11,2,1,0,1,0,0,0,0,0,2,a2
ankle,5,9,2,1,0,1,0,0,0,0,0,2,a2
anybody,7,11,4,2,0,2,0,0,0,0,0,27,a2
anyway,6,11,3,2,0,2,0,0,0,0,0,72,a2
anywhere,8,11,3,2,0,2,0,0,0,0,0,28,a2
appear,6,8,2,1,0,1,0,0,0,0,0,6,a2
appearance,10,12,3,2,0,1,1,0,4,0,323,6,a2
apply,5,#N/A,#N/A,1,0,1,0,0,0,0,0,3,a2
architect,9,12,3,1,0,1,0,0,0,0,0,5,a2
architecture,12,15,4,2,0,1,1,0,3,0,98,5,a2
argue,5,9,2,1,0,1,0,0,0,0,0,7,a2
argument,8,13,3,2,0,1,1,0,4,0,288,7,a2
army,4,7,2,1,0,1,0,0,0,0,0,1,a2
arrange,7,12,2,1,0,1,0,0,0,0,0,9,a2
arrangement,11,16,3,2,0,1,1,0,4,0,288,9,a2
asleep,6,9,2,1,0,1,0,0,0,0,0,1,a2
assistant,9,11,3,2,0,1,1,0,3,0,464,4,a2
athlete,7,9,2,1,0,1,0,0,0,0,0,4,a2
attack,6,7,2,1,0,1,0,0,0,0,0,4,a2
attend,6,8,2,1,0,1,0,0,0,0,0,12,a2
attention,9,10,3,2,0,1,1,0,3,0,1599,12,a2
attractive,10,11,3,2,0,1,1,0,3,0,580,7,a2
audience,8,11,3,2,0,1,1,0,4,0,323,14,a2
author,6,7,2,1,0,1,0,0,0,0,0,11,a2
available,9,14,4,3,1,1,1,1,4,309,872,10,a2
average,7,10,3,1,0,1,0,0,0,0,0,1,a2
avoid,5,9,2,1,0,1,0,0,0,0,0,5,a2
award,5,8,2,1,0,1,0,0,0,0,0,1,a2
awful,5,9,2,2,0,1,1,0,3,0,343,8,a2
background,10,13,2,2,0,2,0,0,0,0,0,90,a2
badly,5,8,2,2,0,1,1,0,2,0,2898,5,a2
bar,3,6,1,1,0,1,0,0,0,0,0,18,a2
baseball,8,12,2,2,0,2,0,0,0,0,0,48,a2
based,5,9,#N/A,1,0,1,0,0,0,0,0,20,a2
basketball,10,15,3,2,0,2,0,0,0,0,0,36,a2
bean,4,7,1,1,0,1,0,0,0,0,0,5,a2
bear,4,7,1,1,0,1,0,0,0,0,0,20,a2
beat,4,7,1,1,0,1,0,0,0,0,0,19,a2
beef,4,7,1,1,0,1,0,0,0,0,0,7,a2
behave,6,10,2,1,0,1,0,0,0,0,0,10,a2
behaviour,9,12,#N/A,2,0,1,1,0,3,0,8,10,a2
belong,6,8,2,1,0,1,0,0,0,0,0,1,a2
belt,4,7,1,1,0,1,0,0,0,0,0,3,a2
benefit,7,11,3,1,0,1,0,0,0,0,0,1,a2
billion,7,10,2,2,0,1,1,0,6,0,10,2,a2
bin,3,6,1,1,0,1,0,0,0,0,0,9,a2
biology,7,14,4,3,0,2,1,0,1,0,2486,245,a2
birth,5,7,1,1,0,1,0,0,0,0,0,11,a2
biscuit,7,9,2,1,0,1,0,0,0,0,0,1,a2
bit,3,6,1,1,0,1,0,0,0,0,0,9,a2
blank,5,8,1,1,0,1,0,0,0,0,0,5,a2
blood,5,7,1,1,0,1,0,0,0,0,0,23,a2
blow,4,8,1,1,0,1,0,0,0,0,0,19,a2
board,5,7,1,1,0,1,0,0,0,0,0,57,a2
boil,4,8,1,1,0,1,0,0,0,0,0,6,a2
bone,4,8,1,1,0,1,0,0,0,0,0,27,a2
borrow,6,9,2,1,0,1,0,0,0,0,0,2,a2
boss,4,6,1,1,0,1,0,0,0,0,0,6,a2
bottom,6,8,2,1,0,1,0,0,0,0,0,2,a2
bowl,4,8,1,1,0,1,0,0,0,0,0,4,a2
brain,5,9,1,1,0,1,0,0,0,0,0,14,a2
bridge,6,9,1,1,0,1,0,0,0,0,0,11,a2
bright,6,9,1,1,0,1,0,0,0,0,0,6,a2
brilliant,9,11,2,2,0,1,1,0,3,0,464,4,a2
broken,6,11,2,2,0,1,1,0,2,0,204,12,a2
brush,5,7,1,1,0,1,0,0,0,0,0,14,a2
burn,4,7,1,1,0,1,0,0,0,0,0,12,a2
businessman,11,12,3,2,0,2,0,0,0,0,0,217,a2
button,6,8,2,1,0,1,0,0,0,0,0,4,a2
camp,4,7,1,1,0,1,0,0,0,0,0,9,a2
camping,7,9,#N/A,1,0,1,0,0,0,0,0,9,a2
care,4,7,1,1,0,1,0,0,0,0,0,12,a2
careful,7,11,2,2,0,1,1,0,3,0,343,12,a2
carefully,9,11,3,3,0,1,2,0,5,0,3241,12,a2
carpet,6,#N/A,#N/A,1,0,1,0,0,0,0,0,3,a2
cartoon,7,10,2,1,0,1,0,0,0,0,0,2,a2
case,4,8,1,1,0,1,0,0,0,0,0,14,a2
cash,4,6,1,1,0,1,0,0,0,0,0,3,a2
castle,6,10,2,1,0,1,0,0,0,0,0,3,a2
catch,5,8,1,1,0,1,0,0,0,0,0,13,a2
cause,5,7,1,1,0,1,0,0,0,0,0,11,a2
celebrate,9,14,3,2,0,1,1,0,3,0,937,4,a2
celebrity,9,12,4,2,0,1,1,0,3,0,580,4,a2
certain,7,9,2,1,0,1,0,0,0,0,0,9,a2
certainly,9,11,3,2,0,1,1,0,2,0,2898,9,a2
chance,6,10,1,1,0,1,0,0,0,0,0,5,a2
character,9,10,3,1,0,1,0,0,0,0,0,6,a2
charity,7,11,3,2,0,1,1,0,1,0,2486,5,a2
chat,4,8,1,1,0,1,0,0,0,0,0,7,a2
chef,4,6,1,1,0,1,0,0,0,0,0,1,a2
chemistry,9,11,3,3,0,1,2,0,6,0,818,16,a2
chip,4,8,1,1,0,1,0,0,0,0,0,3,a2
choice,6,10,1,1,0,1,0,0,0,0,0,5,a2
church,6,11,1,1,0,1,0,0,0,0,0,7,a2
cigarette,9,11,3,2,0,1,1,0,4,0,14,2,a2
circle,6,10,2,1,0,1,0,0,0,0,0,10,a2
classical,9,12,3,3,0,1,2,0,4,0,2445,27,a2
clear,5,8,1,1,0,1,0,0,0,0,0,13,a2
clearly,7,10,2,2,0,1,1,0,2,0,2898,13,a2
clever,6,8,2,1,0,1,0,0,0,0,0,5,a2
climate,7,11,2,1,0,1,0,0,0,0,0,9,a2
closed,6,10,1,1,0,1,0,0,0,0,0,16,a2
clothing,8,11,2,1,0,1,0,0,0,0,0,24,a2
cloud,5,9,1,1,0,1,0,0,0,0,0,11,a2
coach,5,10,1,1,0,1,0,0,0,0,0,7,a2
coast,5,9,1,1,0,1,0,0,0,0,0,9,a2
code,4,8,1,1,0,1,0,0,0,0,0,8,a2
colleague,9,9,2,1,0,1,0,0,0,0,0,1,a2
collect,7,#N/A,#N/A,1,0,1,0,0,0,0,0,10,a2
column,6,8,2,1,0,1,0,0,0,0,0,2,a2
comedy,6,9,3,1,0,1,0,0,0,0,0,3,a2
comfortable,11,13,4,2,0,1,1,0,4,0,872,9,a2
comment,7,9,2,1,0,1,0,0,0,0,0,4,a2
communicate,11,17,4,2,0,1,1,0,3,0,937,16,a2
community,9,14,4,2,0,1,1,0,3,0,580,6,a2
compete,7,10,2,1,0,1,0,0,0,0,0,14,a2
competition,11,14,4,2,0,1,1,0,3,0,1599,14,a2
complain,8,12,2,1,0,1,0,0,0,0,0,5,a2
completely,10,13,3,2,0,1,1,0,2,0,2898,7,a2
condition,9,11,3,1,0,1,0,0,0,0,0,9,a2
conference,10,11,3,2,0,1,1,0,4,0,323,4,a2
connect,7,9,2,1,0,1,0,0,0,0,0,9,a2
connected,9,11,3,1,0,1,0,0,0,0,0,9,a2
consider,8,10,3,1,0,1,0,0,0,0,0,14,a2
contain,7,11,2,2,1,1,0,2,0,370,0,18,a2
context,7,11,2,2,1,1,0,2,0,370,0,6,a2
continent,9,12,3,2,0,1,1,0,3,0,464,9,a2
continue,8,12,3,1,0,1,0,0,0,0,0,13,a2
control,7,12,2,1,0,1,0,0,0,0,0,7,a2
cooker,6,7,2,2,0,1,1,0,2,0,2274,9,a2
copy,4,7,2,1,0,1,0,0,0,0,0,13,a2
corner,6,8,2,1,0,1,0,0,0,0,0,2,a2
correctly,9,11,3,2,0,1,1,0,2,0,2898,14,a2
count,5,9,1,1,0,1,0,0,0,0,0,12,a2
couple,6,9,2,1,0,1,0,0,0,0,0,5,a2
cover,5,7,2,1,0,1,0,0,0,0,0,9,a2
crazy,5,10,2,2,0,1,1,0,1,0,2486,6,a2
creative,8,13,3,2,0,1,1,0,3,0,580,12,a2
credit,6,9,2,1,0,1,0,0,0,0,0,9,a2
crime,5,9,1,1,0,1,0,0,0,0,0,18,a2
criminal,8,12,3,2,0,1,1,0,2,0,1431,18,a2
cross,5,7,1,1,0,1,0,0,0,0,0,7,a2
crowd,5,9,1,1,0,1,0,0,0,0,0,3,a2
crowded,7,11,2,1,0,1,0,0,0,0,0,3,a2
cry,3,8,1,1,0,1,0,0,0,0,0,5,a2
cupboard,8,8,2,1,0,1,0,0,0,0,0,1,a2
curly,5,8,2,2,0,1,1,0,1,0,2486,7,a2
cycle,5,11,2,1,0,1,0,0,0,0,0,19,a2
daily,5,9,2,2,0,1,1,0,2,0,2898,35,a2
danger,6,12,2,1,0,1,0,0,0,0,0,4,a2
data,4,9,2,1,0,1,0,0,0,0,0,1,a2
dead,4,6,1,1,0,1,0,0,0,0,0,12,a2
deal,4,7,1,1,0,1,0,0,0,0,0,7,a2
death,5,6,1,1,0,1,0,0,0,0,0,8,a2
decision,8,10,3,2,0,1,1,0,3,0,1599,14,a2
deep,4,7,1,1,0,1,0,0,0,0,0,6,a2
definitely,10,12,4,3,0,1,2,0,5,0,2943,15,a2
degree,6,9,2,1,0,1,0,0,0,0,0,1,a2
dentist,7,10,2,2,0,1,1,0,3,0,462,9,a2
department,10,13,3,1,0,1,0,0,0,0,0,4,a2
depend,6,9,2,2,1,1,0,2,0,275,0,34,a2
desert,6,#N/A,#N/A,1,0,1,0,0,0,0,0,3,a2
designer,8,11,3,2,0,1,1,0,2,0,2274,5,a2
destroy,7,11,2,1,0,1,0,0,0,0,0,2,a2
